City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,klaksvik,62.2266,-6.589,11.51,98,96,2.97,FO,1693256071
273,khorramabad,33.4878,48.3558,24.79,18,0,2.06,IR,1693255805
274,newman,37.3138,-121.0208,35.59,9,0,3.22,US,1693255974
275,uhrichsville,40.3931,-81.3465,27.2,62,20,2.06,US,1693256071
276,jiangmen,22.5833,113.0833,28.32,91,100,2.99,CN,1693256071
277,beja,36.7256,9.1817,23.36,63,2,5.65,TN,1693256071
278,mount isa,-20.7333,139.5,7.87,76,0,0.0,AU,1693256072
279,suez,29.9737,32.5263,26.24,72,0,3.7,EG,1693256072
280,ramotswa,-24.8716,25.8699,14.79,33,100,2.41,BW,1693256072
281,mangrol,21.1167,70.1167,27.32,69,78,6.26,IN,1693256072
282,mumbwa,-14.9783,27.0619,15.21,68,3,2.58,ZM,1693256072
283,at taj,24.2049,23.2857,29.86,17,0,4.53,LY,1693256072
284,teguise,29.0605,-13.564,22.12,73,20,12.86,ES,1693256073
285,wonju,37.3514,127.9453,23.5,94,100,2.17,KR,1693256073
286,nova vicosa,-17.8919,-39.3719,22.34,86,100,7.74,BR,1693256073
287,rosarito,32.3333,-117.0333,38.47,55,25,5.46,MX,1693255517
288,meeuwen,51.0979,5.5194,15.85,87,100,0.51,BE,1693256073
289,mooloolaba,-26.6833,153.1167,14.47,96,100,0.89,AU,1693256073
290,dien bien phu,21.3833,103.0167,22.95,99,99,0.79,VN,1693256074
291,muragacha,23.5333,88.4,28.87,73,100,1.23,IN,1693256074
292,sao joao da barra,-21.6403,-41.0511,19.05,91,100,6.53,BR,1693256079
293,vilyuchinsk,52.9306,158.4028,11.15,73,44,2.16,RU,1693256079
294,pozo del molle,-32.0186,-62.9198,19.49,23,1,6.15,AR,1693256079
295,chegdomyn,51.1167,133.0167,10.01,92,61,0.6,RU,1693256080
296,palikir - national government center,6.9248,158.1611,27.68,77,100,3.46,FM,1693256080
297,falam,22.9167,93.6833,16.95,98,100,1.39,MM,1693256080
298,gantang,26.92,119.6333,25.07,96,84,0.95,CN,1693256080
299,puerto deseado,-47.7503,-65.8938,8.67,61,1,3.63,AR,1693256080
300,st. john's,47.5649,-52.7093,20.54,76,40,9.77,CA,1693255985
301,tazovsky,67.4667,78.7,8.21,72,26,2.86,RU,1693256080
302,hami,42.8,93.45,29.91,15,93,9.13,CN,1693256081
303,tasova,40.7597,36.3225,19.01,87,100,1.39,TR,1693256081
304,saipan,15.1355,145.701,26.39,94,100,2.06,MP,1693256081
305,kristiansund,63.1115,7.732,12.36,82,75,3.09,NO,1693256081
306,urengoy,65.9667,78.3667,12.09,66,100,3.23,RU,1693256081
307,tinghir,31.5157,-5.5343,30.37,19,74,2.17,MA,1693256081
308,yeniseysk,58.4497,92.1703,16.81,89,100,2.16,RU,1693256081
309,san jose del guaviare,2.5729,-72.6459,28.28,72,59,1.45,CO,1693256082
310,penzance,50.1186,-5.5371,14.87,80,100,4.47,GB,1693256082
311,villa gesell,-37.2639,-56.973,10.59,60,99,5.69,AR,1693256082
312,linqiong,30.4159,103.4609,22.9,82,100,0.31,CN,1693256082
313,tralee,52.2704,-9.7026,13.81,90,82,1.85,IE,1693256082
314,'ain el melh,34.8415,4.1638,21.05,34,0,5.86,DZ,1693256082
315,tidjikja,18.5564,-11.4271,30.95,48,100,5.64,MR,1693256082
316,verneuil-sur-avre,48.7395,0.9273,12.78,85,81,3.87,FR,1693256083
317,sao tome,0.3365,6.7273,25.28,86,60,3.88,ST,1693256083
318,chifeng,42.2683,118.9636,13.81,75,32,2.61,CN,1693256083
319,nadi,-17.8,177.4167,23.0,68,20,3.6,FJ,1693255487
320,masina,-4.3836,15.3914,25.19,69,40,5.14,CD,1693256083
321,masuda,34.6667,131.85,24.24,91,98,2.82,JP,1693256083
322,kalmunai,7.4167,81.8167,26.41,77,100,3.37,LK,1693256084
323,cururupu,-1.8283,-44.8683,26.23,77,1,2.79,BR,1693256084
324,rio preto da eva,-2.6994,-59.6997,38.53,23,37,1.0,BR,1693256084
325,carrigaline,51.8117,-8.3986,13.86,88,75,3.6,IE,1693256084
326,kerikeri,-35.2268,173.9474,7.17,95,6,0.89,NZ,1693256084
327,namdrik,5.5994,168.1028,28.22,71,82,1.03,MH,1693256084
328,ambon,-3.6954,128.1814,27.15,95,99,7.64,ID,1693256084
329,nuuk,64.1835,-51.7216,9.34,87,100,20.06,GL,1693256085
330,flying fish cove,-10.4217,105.6791,23.82,83,75,3.09,CX,1693256085
331,okhotsk,59.3833,143.3,16.67,73,18,2.08,RU,1693256085
332,la paz,-16.5,-68.15,19.99,12,20,2.57,BO,1693256027
333,kailua-kona,19.6406,-155.9956,27.98,69,0,5.14,US,1693256085
334,san antonio de pale,-1.4014,5.6325,24.19,86,47,5.38,GQ,1693256085
335,nanchang,28.6833,115.8833,21.35,92,100,1.79,CN,1693256086
336,saldanha,-33.0117,17.9442,19.03,45,0,6.18,ZA,1693256086
337,macapa,0.0389,-51.0664,32.99,49,20,4.63,BR,1693255872
338,fortuna,40.5982,-124.1573,21.07,73,75,3.09,US,1693256086
339,pestovo,58.5938,35.8024,10.23,70,100,3.11,RU,1693256086
340,namalenga,-10.95,39.1,22.74,68,79,2.47,TZ,1693256086
341,grand haven,43.0631,-86.2284,26.29,55,20,3.6,US,1693256012
342,vinukonda,16.05,79.75,29.46,63,91,1.5,IN,1693256086
343,broken hill,-31.95,141.4333,12.77,56,9,3.67,AU,1693256087
344,paita,-5.0892,-81.1144,22.76,74,0,7.65,PE,1693256087
345,jinghong,21.991,100.7341,22.23,100,83,0.58,CN,1693256087
346,weiser,44.251,-116.9693,34.62,37,0,0.89,US,1693256087
347,arenas de san pedro,40.2104,-5.0869,19.93,39,0,3.32,ES,1693256087
348,revda,56.801,59.9303,8.03,94,100,4.13,RU,1693256087
349,jaltenango de la paz,15.9167,-92.7167,22.94,82,88,1.33,MX,1693256087
